file	total_intensity	mean_intensity	pixel_count	green_puncta_count	green_total_area	mito_num_mito_objects	mito_mean_area	mito_median_area	mito_num_skel_segments	mito_mean_skel_length	mito_median_skel_length	mito_total_skel_length	mito_mean_distance_to_cell_center	mito_lacunarity
LPS_Op_NoTrogo_2.tif	408650.0	3.568746288468928	114508	57	1318.0	11	750.2727272727273	372.0	11	96.45454545454545	42.0	1061.0	82.12107214741933	{4: 59.208832608337985, 8: 48.050975462786106, 16: 33.95435798161783, 32: 23.42422611534148}
LPS_Op_NoTrogo_2_Z1.tif	941040.0	5.852238805970149	160800	43	1288.0	30	871.2666666666667	454.0	30	99.63333333333334	45.5	2989.0	156.47385971749975	{4: 19.032974350193964, 8: 15.79024550983127, 16: 11.47591602690846, 32: 8.129424701467794}
LPS_Op_NoTrogo_3.tif	336455.0	3.5155425526357034	95705	8	158.0	5	254.6	206.0	5	18.6	14.0	93.0	147.3975384410834	{4: 388.19344994895266, 8: 313.02220078133854, 16: 191.69390702747316, 32: 83.06701912305175}
LPS_Op_NoTrogo_4.tif	151210.0	2.101189483630704	71964	18	650.0	6	3548.5	848.5	6	496.5	112.5	2979.0	103.6864826296922	{4: 23.260331453472794, 8: 19.431820122289817, 16: 14.950720488630022, 32: 11.723122382512871}
LPS_Op_NoTrogo_Z1.tif	321986.0	3.259132547193684	98795	18	736.0	18	664.3333333333334	337.5	18	77.72222222222223	31.5	1399.0	124.60045989951037	{4: 41.55564859659437, 8: 34.459481664568536, 16: 25.025144914422313, 32: 17.22249917199522}
LPS_Op_TrogoPhago_2.tif	1623082.0	5.9671035458907005	272005	77	4639.0	80	576.0375	331.5	80	69.475	35.5	5558.0	195.13270445220266	{4: 10.51070362192547, 8: 8.338304725336398, 16: 5.650191671139275, 32: 3.8203001630688305}
LPS_Op_TrogoPhago_3.tif	1342401.0	12.541232634834033	107039	71	6331.0	8	1164.125	440.5	8	144.0	44.5	1152.0	112.46359426642817	{4: 54.154498931042355, 8: 45.83677267141311, 16: 34.17762774242509, 32: 23.772251847953832}
LPS_Op_TrogoPhago_3_Z1.tif	1926761.0	28.402385093900175	67838	32	976.0	6	515.5	320.0	6	52.666666666666664	29.0	316.0	109.27828895820058	{4: 161.18802387073296, 8: 133.03944748190656, 16: 90.08646471647793, 32: 49.28339856511519}
LPS_Op_TrogoPhago_4.tif	1453567.0	6.539998560231803	222258	106	8771.0	80	525.9875	365.0	80	56.7875	34.5	4543.0	220.97681089497556	{4: 11.733472720271438, 8: 9.58609560982432, 16: 6.756258401229929, 32: 4.5742845122309586}
LPS_Op_TrogoPhago_5.tif	2192761.0	17.111160533133564	128148	75	6952.0	46	457.9347826086956	282.5	46	42.608695652173914	19.5	1960.0	129.80733437801555	{4: 23.65785260737715, 8: 19.534310654160322, 16: 13.707953410676817, 32: 8.707220791650528}
LPS_Op_TrogoPhago_Z1.tif	557955.0	4.2184629342607645	132265	75	5094.0	36	731.2777777777778	343.0	36	90.19444444444444	33.5	3247.0	142.1435555401498	{4: 18.603893683552702, 8: 15.118815858164659, 16: 10.957046423151224, 32: 7.976641816741245}
LPS_Op_Trogo_2.tif	1374229.0	11.48694351104201	119634	69	5328.0	31	503.8709677419355	347.0	31	55.516129032258064	33.0	1721.0	132.24681244801113	{4: 31.439875711145493, 8: 25.58831850419824, 16: 18.11420147942785, 32: 12.40765720747035}
LPS_Op_Trogo_3.tif	850011.0	5.217960601837926	162901	48	2706.0	21	742.9047619047619	383.0	21	86.9047619047619	44.0	1825.0	131.14051402614197	{4: 31.776799435698507, 8: 26.1565294854311, 16: 18.48878291984527, 32: 11.981596310953382}
LPS_Op_Trogo_4.tif	329140.0	2.318997829946735	141932	50	3117.0	15	373.53333333333336	169.0	15	41.2	16.0	618.0	97.56214990287407	{4: 87.07676783930286, 8: 70.52073038914911, 16: 48.84369181035659, 32: 32.57193743775876}
LPS_Op_Trogo_5.tif	92762.0	1.8089666335146941	51279	18	857.0	15	446.8	287.0	15	49.733333333333334	32.0	746.0	68.75429519953978	{4: 73.15519146022568, 8: 59.362208881769654, 16: 41.02070724900449, 32: 26.63005841207445}
LPS_Op_Trogo_Z1.tif	371493.0	3.309190190716277	112261	115	7499.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	{4: 1.0, 8: 1.0, 16: 1.0, 32: 1.0}
